Date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2021-01-14,39.9,46.7,56.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-13,35.1,43.3,57.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-12,26.1,37.6,55.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-11,22.5,33.3,48.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-10,16.7,25.2,36.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-09,14.2,25.3,35.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-08,18.7,28.8,39.2,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-01-07,35.1,37.5,41.7,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-01-06,34.3,43.5,48.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-05,20.5,34.4,55.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-04,33.8,40.8,53.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-03,21.0,33.8,51.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-02,21.4,29.8,43.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-01,27.5,30.2,37.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-31,17.1,23.1,30.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-30,26.1,32.3,37.2,No data.,No data.,0.90,No data.,No data.,No data.,No data.,No data.
2020-12-29,29.3,31.6,34.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-28,19.8,30.7,44.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-27,26.4,42.1,54.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-26,19.8,37.7,63.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-25,7.9,22.9,49.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-24,16.5,24.0,30.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-23,25.2,46.3,62.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-22,25.9,45.1,67.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-21,33.4,46.6,60.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-20,28.6,38.9,53.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-19,19.8,33.1,48.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-18,34.5,43.2,54.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-17,23.2,31.5,50.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-16,21.7,27.0,34.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-15,22.1,25.9,32.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-14,11.5,23.7,39.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-13,23.4,29.9,36.7,No data.,No data.,0.02,No data.,No data.,No data.,No data.,No data.
2020-12-12,31.8,33.9,38.1,No data.,No data.,0.03,No data.,No data.,No data.,No data.,No data.
2020-12-11,37.2,41.4,55.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-10,25.9,43.5,65.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-09,34.5,50.2,69.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-08,23.0,39.9,61.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-07,21.2,35.2,56.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-06,21.7,34.5,48.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-05,27.5,40.0,51.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-04,25.0,35.6,55.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-03,27.5,34.5,45.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-02,22.5,34.4,49.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-12-01,20.1,32.9,50.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-30,17.6,29.4,42.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-29,36.3,43.3,51.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-28,24.1,38.1,57.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-27,32.5,41.9,54.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-26,25.9,36.2,61.5,No data.,No data.,0.65,No data.,No data.,No data.,No data.,No data.
2020-11-25,30.9,40.4,53.6,No data.,No data.,0.61,No data.,No data.,No data.,No data.,No data.
2020-11-24,43.5,50.8,56.7,No data.,No data.,0.26,No data.,No data.,No data.,No data.,No data.
2020-11-23,21.6,33.0,47.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-22,37.4,44.6,56.3,No data.,No data.,0.06,No data.,No data.,No data.,No data.,No data.
2020-11-21,41.9,47.0,57.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-20,39.0,53.2,68.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-19,58.6,65.0,74.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-18,50.4,58.7,73.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-17,25.7,43.3,65.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-16,37.8,48.3,66.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-15,38.1,47.7,60.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-14,33.4,52.1,68.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-13,14.9,31.1,50.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-12,33.3,43.9,58.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-11,23.0,35.7,59.4,No data.,No data.,0.49,No data.,No data.,No data.,No data.,No data.
2020-11-10,32.5,41.2,69.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-09,62.8,66.8,73.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-08,57.7,65.3,76.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-07,55.4,64.6,76.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-06,41.2,56.6,75.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-05,47.3,59.2,74.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-04,53.2,62.9,74.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-03,45.0,59.4,82.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-02,28.4,47.2,71.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-11-01,33.1,46.9,64.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-31,49.8,57.5,69.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-30,27.9,45.6,72.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-29,37.2,45.2,51.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-28,26.1,35.8,47.1,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2020-10-27,27.1,29.8,36.3,No data.,No data.,0.06,No data.,No data.,No data.,No data.,No data.
2020-10-26,23.4,27.6,32.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-25,32.0,35.9,38.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-24,33.8,36.2,39.9,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2020-10-23,36.7,40.5,51.8,No data.,No data.,0.11,No data.,No data.,No data.,No data.,No data.
2020-10-22,47.3,61.3,83.3,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2020-10-21,34.0,43.3,52.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-20,40.6,45.4,54.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-19,40.6,43.5,48.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-18,39.2,46.8,66.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-17,52.2,58.8,70.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-16,29.3,43.6,63.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-15,49.5,57.6,74.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-14,54.7,66.6,80.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-13,52.5,63.2,77.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-12,47.5,65.0,84.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-11,58.3,73.0,87.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-10,57.0,70.9,84.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-09,63.3,73.5,84.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-08,52.9,68.4,87.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-07,56.7,71.3,92.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-06,45.5,64.9,84.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-05,49.6,61.2,80.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-04,33.3,49.3,69.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-03,46.9,57.4,67.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-02,31.6,48.5,70.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-10-01,38.1,52.1,65.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-30,53.4,64.8,76.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-29,37.9,53.9,76.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-28,43.7,55.5,70.3,No data.,No data.,1.24,No data.,No data.,No data.,No data.,No data.
2020-09-27,53.1,68.2,88.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-26,67.8,78.6,94.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-25,64.6,75.3,91.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-24,60.4,69.6,87.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-23,65.7,69.6,77.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-22,53.1,67.1,78.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-21,46.9,63.1,81.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-20,54.5,65.1,78.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-19,53.6,63.4,76.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-18,47.5,59.5,75.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-17,53.1,66.1,81.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-16,56.7,70.3,84.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-15,50.4,64.7,83.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-14,49.6,64.6,80.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-13,48.0,62.9,81.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-12,48.9,61.6,75.6,No data.,No data.,0.02,No data.,No data.,No data.,No data.,No data.
2020-09-11,52.9,55.3,61.0,No data.,No data.,0.50,No data.,No data.,No data.,No data.,No data.
2020-09-10,47.3,50.6,56.8,No data.,No data.,0.85,No data.,No data.,No data.,No data.,No data.
2020-09-09,45.3,47.2,50.5,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2020-09-08,47.7,60.1,86.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-07,66.4,80.5,95.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-06,74.1,82.9,96.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-05,61.3,76.0,93.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-04,47.1,65.3,86.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-03,67.6,74.6,84.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-02,60.3,73.2,88.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-09-01,65.7,71.3,81.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-31,64.4,73.3,83.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-30,57.0,69.1,85.5,No data.,No data.,0.93,No data.,No data.,No data.,No data.,No data.
2020-08-29,65.8,74.5,93.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-28,69.1,81.1,95.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-27,68.0,80.2,93.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-26,68.9,81.4,94.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-25,69.3,80.7,93.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-24,68.4,81.3,93.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-23,67.8,79.6,93.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-22,62.8,76.9,90.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-21,62.1,75.9,87.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-20,62.1,74.0,86.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-19,56.1,70.8,83.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-18,56.7,69.6,84.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-17,61.9,73.0,86.2,No data.,No data.,1.02,No data.,No data.,No data.,No data.,No data.
2020-08-16,59.9,69.8,84.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-15,72.0,80.6,90.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-14,66.2,79.7,92.7,No data.,No data.,0.02,No data.,No data.,No data.,No data.,No data.
2020-08-13,68.0,77.4,89.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-12,67.6,76.9,88.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-11,70.7,79.4,92.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-10,74.3,80.8,88.5,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2020-08-09,71.8,81.5,94.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-08,75.0,82.5,95.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-07,72.0,77.8,86.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-06,66.7,73.9,85.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-05,57.2,68.4,82.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-04,50.7,64.3,76.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-03,54.3,67.7,79.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-02,63.0,70.6,82.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-08-01,60.4,71.4,83.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-31,65.7,71.8,82.6,No data.,No data.,0.78,No data.,No data.,No data.,No data.,No data.
2020-07-30,70.5,73.6,79.5,No data.,No data.,1.02,No data.,No data.,No data.,No data.,No data.
2020-07-29,72.3,76.6,84.9,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2020-07-28,68.7,76.3,87.8,No data.,No data.,0.37,No data.,No data.,No data.,No data.,No data.
2020-07-27,70.7,75.3,91.6,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2020-07-26,73.6,83.1,93.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-25,75.0,82.7,91.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-24,73.6,81.8,91.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-23,73.4,81.8,91.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-22,64.8,76.4,89.1,No data.,No data.,0.29,No data.,No data.,No data.,No data.,No data.
2020-07-21,68.7,74.4,84.9,No data.,No data.,1.47,No data.,No data.,No data.,No data.,No data.
2020-07-20,67.5,75.7,85.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-19,71.4,81.8,93.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-18,77.0,85.6,95.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-17,74.3,81.5,93.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-16,68.2,76.8,86.9,No data.,No data.,2.04,No data.,No data.,No data.,No data.,No data.
2020-07-15,67.8,77.3,87.8,No data.,No data.,0.03,No data.,No data.,No data.,No data.,No data.
2020-07-14,72.1,80.1,90.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-13,66.7,77.6,90.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-12,59.2,75.4,86.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-11,70.5,80.0,90.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-10,66.4,77.3,89.4,No data.,No data.,1.11,No data.,No data.,No data.,No data.,No data.
2020-07-09,64.6,77.9,91.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-08,71.6,82.8,93.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-07,66.7,79.8,93.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-06,68.5,78.1,89.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-05,70.0,78.4,89.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-04,68.2,77.4,87.6,No data.,No data.,0.19,No data.,No data.,No data.,No data.,No data.
2020-07-03,67.3,76.7,87.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-02,72.5,79.1,88.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-07-01,70.5,81.2,91.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-30,75.7,82.7,91.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-29,74.7,82.0,90.1,No data.,No data.,0.17,No data.,No data.,No data.,No data.,No data.
2020-06-28,73.0,80.7,90.3,No data.,No data.,1.21,No data.,No data.,No data.,No data.,No data.
2020-06-27,65.1,78.0,90.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-26,73.0,81.8,92.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-25,64.4,78.0,92.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-24,57.6,71.1,85.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-23,59.0,69.6,84.2,No data.,No data.,0.32,No data.,No data.,No data.,No data.,No data.
2020-06-22,65.3,74.4,85.5,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2020-06-21,67.8,74.1,83.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-20,63.0,71.0,84.0,No data.,No data.,0.88,No data.,No data.,No data.,No data.,No data.
2020-06-19,66.0,72.7,89.8,No data.,No data.,0.27,No data.,No data.,No data.,No data.,No data.
2020-06-18,71.8,81.8,91.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-17,70.9,81.0,92.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-16,69.6,80.8,91.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-15,69.8,81.0,91.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-14,69.1,81.0,92.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-13,68.5,79.4,92.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-12,65.5,78.3,89.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2020-06-11,50.7,67.8,88.3,No data.,No data.,0.39,No data.,No data.,No data.,No data.,No data.
2020-06-10,54.5,66.5,87.6,No data.,No data.,0.13,No data.,No data.,No data.,No data.,No data.
